irradiation date,cell line,radiation type,sample_id,dose,image_nr,nuclei,micronuclei
03JUN2022,A549,xray,1,0,18,2,2
03JUN2022,A549,xray,1,0,18,3,0
03JUN2022,A549,xray,1,0,18,1,0
03JUN2022,A549,xray,1,0,18,4,0
03JUN2022,A549,xray,1,0,18,2,0
03JUN2022,A549,xray,1,0,18,2,0
03JUN2022,A549,xray,1,0,27,0,0
03JUN2022,A549,xray,1,0,27,3,0
03JUN2022,A549,xray,1,0,27,3,0
03JUN2022,A549,xray,1,0,27,3,0
03JUN2022,A549,xray,1,0,27,4,0
03JUN2022,A549,xray,1,0,26,2,1
03JUN2022,A549,xray,1,0,26,2,0
03JUN2022,A549,xray,1,0,26,2,0
03JUN2022,A549,xray,1,0,13,2,0
03JUN2022,A549,xray,1,0,13,6,2
03JUN2022,A549,xray,1,0,13,1,0
03JUN2022,A549,xray,1,0,13,1,0
03JUN2022,A549,xray,1,0,13,1,0
03JUN2022,A549,xray,1,0,13,0,0
03JUN2022,A549,xray,1,0,13,0,2
03JUN2022,A549,xray,1,0,12,2,0
03JUN2022,A549,xray,1,0,12,2,0
03JUN2022,A549,xray,1,0,12,2,0
03JUN2022,A549,xray,1,0,30,2,0
03JUN2022,A549,xray,1,0,30,2,0
03JUN2022,A549,xray,1,0,30,1,0
03JUN2022,A549,xray,1,0,30,2,0
03JUN2022,A549,xray,1,0,30,1,0
03JUN2022,A549,xray,1,0,30,1,0
03JUN2022,A549,xray,1,8,17,1,0
03JUN2022,A549,xray,1,8,17,1,0
03JUN2022,A549,xray,1,8,17,1,0
03JUN2022,A549,xray,1,8,17,1,0
03JUN2022,A549,xray,1,8,17,1,0
03JUN2022,A549,xray,1,8,17,2,0
03JUN2022,A549,xray,1,8,17,1,0
03JUN2022,A549,xray,1,8,17,1,0
03JUN2022,A549,xray,1,8,17,1,0
03JUN2022,A549,xray,1,8,16,2,0
03JUN2022,A549,xray,1,8,16,2,0
03JUN2022,A549,xray,1,8,16,2,0
03JUN2022,A549,xray,1,8,29,2,0
03JUN2022,A549,xray,1,8,29,1,0
03JUN2022,A549,xray,1,8,29,1,1
03JUN2022,A549,xray,1,8,29,0,0
03JUN2022,A549,xray,1,8,29,2,0
03JUN2022,A549,xray,1,8,28,2,0
03JUN2022,A549,xray,1,8,28,1,0
03JUN2022,A549,xray,1,8,28,0,0
03JUN2022,A549,xray,1,8,28,0,0
03JUN2022,A549,xray,1,8,5,1,0
03JUN2022,A549,xray,1,8,5,1,1
03JUN2022,A549,xray,1,8,5,1,0
03JUN2022,A549,xray,1,8,5,1,0
03JUN2022,A549,xray,1,8,5,0,2
03JUN2022,A549,xray,1,8,5,2,0
03JUN2022,A549,xray,1,8,5,2,0
03JUN2022,A549,xray,1,8,5,1,1
03JUN2022,A549,xray,1,8,5,1,0
03JUN2022,A549,xray,1,8,5,1,0
03JUN2022,A549,xray,1,8,4,1,0
03JUN2022,A549,xray,1,8,4,2,0
03JUN2022,A549,xray,1,8,4,1,0
03JUN2022,A549,xray,1,8,4,1,0
03JUN2022,A549,xray,1,8,4,0,3
03JUN2022,A549,xray,1,8,4,1,0
03JUN2022,A549,xray,1,8,4,1,0
03JUN2022,A549,xray,1,8,4,1,0
03JUN2022,A549,xray,1,8,4,0,0
03JUN2022,A549,xray,1,8,4,1,0
03JUN2022,A549,xray,1,8,4,2,0
03JUN2022,A549,xray,1,8,4,0,0
03JUN2022,A549,xray,1,8,23,1,0
03JUN2022,A549,xray,1,8,23,2,0
03JUN2022,A549,xray,1,8,23,3,0
03JUN2022,A549,xray,1,8,23,2,3
03JUN2022,A549,xray,1,8,23,2,0
03JUN2022,A549,xray,1,8,23,3,0
03JUN2022,A549,xray,1,8,23,3,1
03JUN2022,A549,xray,1,8,23,4,0
03JUN2022,A549,xray,1,8,23,1,0
03JUN2022,A549,xray,1,8,23,5,1
03JUN2022,A549,xray,1,8,23,3,0
03JUN2022,A549,xray,1,8,23,2,0
03JUN2022,A549,xray,1,8,23,3,0
03JUN2022,A549,xray,1,8,23,2,0
03JUN2022,A549,xray,1,8,22,2,0
03JUN2022,A549,xray,1,8,22,2,0
03JUN2022,A549,xray,1,8,22,1,0
03JUN2022,A549,xray,1,8,22,3,0
03JUN2022,A549,xray,1,8,22,2,0
03JUN2022,A549,xray,1,8,22,2,0
03JUN2022,A549,xray,1,8,22,1,1
03JUN2022,A549,xray,1,8,22,2,0
03JUN2022,A549,xray,1,8,22,1,2
03JUN2022,A549,xray,1,8,22,4,0
03JUN2022,A549,xray,1,8,22,5,2
03JUN2022,A549,xray,1,8,22,2,1
03JUN2022,A549,xray,1,8,22,3,0
03JUN2022,A549,xray,1,8,22,3,1
03JUN2022,A549,xray,1,8,22,2,0
03JUN2022,A549,xray,1,8,22,1,0
03JUN2022,A549,xray,1,8,22,1,2
03JUN2022,A549,xray,1,8,32,3,0
03JUN2022,A549,xray,1,8,32,1,0
03JUN2022,A549,xray,1,8,32,2,0
03JUN2022,A549,xray,1,8,32,2,0
03JUN2022,A549,xray,1,8,32,1,0
03JUN2022,A549,xray,1,8,10,1,0
03JUN2022,A549,xray,1,8,10,3,0
03JUN2022,A549,xray,1,8,10,1,0
03JUN2022,A549,xray,1,8,10,1,0
03JUN2022,A549,xray,1,8,10,1,0
03JUN2022,A549,xray,1,8,11,1,0
03JUN2022,A549,xray,1,8,11,2,0
03JUN2022,A549,xray,1,8,11,1,0
03JUN2022,A549,xray,1,8,11,0,2
